"fetched_at_utc","station_id","name","lat","lon","capacity","address","post_code","region_id"
"2026-09-20T15:40:54","PIB:Station:1792","Landhausweg - Bern",46.935837,7.4327044,50,"Landhausweg 23","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1793","Roschistrasse - Bern",46.93498,7.438808,50,"Roschistrasse 10","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1799","Steigerhubelstrasse - Bern",46.946167,7.4114184,50,"Steigerhubelstrasse 49","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1800","Goumoensstrasse - Bern",46.93465,7.4313188,50,"Goumoensstrasse 41","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1801","Los Lorentes Residences - Bern",46.948677,7.4081635,50,"Murtenstrasse 147A","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1803","Guisanplatz - Bern",46.958717,7.4646416,50,"","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1804","Rosengarten Ost - Bern",46.95206,7.4615755,50,"","3013","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1805","Ostermundigerstrasse - Bern",46.952507,7.467395,50,"Ostermundigenstrasse 36","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1806","Zentweg - Bern",46.95548,7.4769044,50,"Breiteweg 2","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1807","Bärenpark - Bern",46.94787,7.4598913,50,"Grosser Muristalden 4","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1808","Schule Laubegg - Bern",46.94713,7.465731,50,"","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1809","Giacomettistrasse - Bern",46.94581,7.4729347,50,"Giacomettistrasse 15","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1810","Egelgasse-Ostring - Bern",46.943806,7.469424,50,"Egelgasse 65","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1811","Spital Sonnenhof - Bern",46.9432,7.4735436,50,"","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1812","Helvetiaplatz - Bern",46.943993,7.449697,50,"Helvetiaplatz 1","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1813","Museen Bernastrasse - Bern",46.94138,7.448788,50,"Bernastrasse 23","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1814","Nationalbibliothek - Bern",46.941257,7.45071,50,"Helvetiastrasse 21","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1815","Anshelmstrasse - Bern",46.938965,7.4476523,50,"Anshelmstrasse 22","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1816","Jubiläumsplatz - Bern",46.940178,7.453041,50,"Kirchenfeldstrasse 44","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1817","Ka-We-De - Bern",46.935627,7.44591,50,"Jubiläumsstrasse 97","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1818","Dählhölzli - Bern",46.933643,7.4482503,50,"Tierparkweg 2c","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1819","Luisenstrasse - Bern",46.94235,7.4527755,50,"Luisenstrasse 16A","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1820","Seminarstrasse - Bern",46.94273,7.4595447,50,"Seminarstrasse 15","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1821","Böcklinstrasse - Bern",46.941624,7.463198,50,"Böcklinstrasse 28","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1822","Jolimontstrasse - Bern",46.94155,7.4708853,50,"Jolimontstrasse 18","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1823","Ringoltingenstrasse - Bern",46.93667,7.467993,50,"Ringoltingenstrasse 21","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1824","Egghölzli - Bern",46.936634,7.4758286,50,"Dunantstrasse 2","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1825","Elfenau - Bern",46.93336,7.4663825,50,"Elfenauweg 96","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1826","Zentrum Paul Klee - Bern",46.95099,7.472621,50,"Undo-endo 24A","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1827","Egelsee - Bern",46.943535,7.46329,50,"Muristrasse 38","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1828","Thunplatz - Bern",46.9403,7.458606,50,"Thunplatz 1","3005","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1829","Wittigkofen - Bern",46.938446,7.4807897,50,"Jupiterstrasse 1","3015","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1830","Burgernziel - Bern",46.941475,7.46644,50,"Muristrasse 51","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1831","Elfenauweg - Bern",46.939457,7.4697275,50,"Elfenauweg 4","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1832","Mittelholzerstrasse - Bern",46.95907,7.4777536,50,"Mittelholzerstrasse 30","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1833","Weltistrasse - Bern",46.94612,7.475814,50,"Weltistrasse 40e","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1834","Obere Zollgasse - Bern",46.946857,7.483653,50,"Obere Zollgasse 94","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1835","Swiss Prime Site Immobilien AG - Bern",46.938747,7.4752083,50,"Weltpoststrasse 5","3015","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1840","Liebeggweg - Bern",46.94475,7.4606833,50,"Liebeggweg 31","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1841","Kollerweg - Bern",46.943863,7.455008,50,"Kollerweg 32","3000","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1842","Brunnadernstrasse - Bern",46.940506,7.4631896,50,"Brunnadernstrasse 28","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1844","Bernexpo - Bern",46.961052,7.465428,50,"Papiermühlestrasse 80","3014","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1845","Manuelstrasse - Bern",46.93333,7.471794,50,"Manuelstrasse 97","3006","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1846","UPZ Restaurant - Bern",46.96629,7.4831877,50,"Bolligenstrasse 119b","3072","PIB:Region:41"
