"fetched_at_utc","station_id","name","lat","lon","capacity","address","post_code"
"2026-08-24T14:40:39","PIB:Station:1693","Wallgasse - Bern",46.94626,7.438039,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1694","Predigergasse - Bern",46.94917,7.4459267,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1695","Junkerngasse - Bern",46.947792,7.454057,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1696","Bollwerk - Bern",46.951706,7.442115,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1697","Inselgasse - Bern",46.946884,7.4458294,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1698","Rathausgasse - Bern",46.948475,7.450536,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1703","Depotstrasse - Bern",46.950104,7.4283705,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1704","Bühlstrasse Uni - Bern",46.95148,7.430385,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1705","Pauluskirche - Bern",46.952686,7.4299874,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1706","Muesmatt Uni - Bern",46.953403,7.4285574,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1707","Waldheimstrasse - Bern",46.953915,7.4267397,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1708","Hochschulzentrum von Roll - Bern",46.953438,7.4239297,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1710","Hauptgebäude Uni - Bern",46.95066,7.437039,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1711","UniS - Bern",46.950336,7.4352927,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1712","Erlachstrasse - Bern",46.95155,7.4345326,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1713","Hallerstrasse - Bern",46.952454,7.4354215,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1714","Mittelstrasse Süd - Bern",46.95342,7.432825,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1715","Mittelstrasse - Bern",46.95473,7.433391,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1716","Unitobler Ost - Bern",46.954144,7.430703,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1717","Unitobler West - Bern",46.954514,7.4294934,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1718","Neufeldstrasse - Bern",46.956543,7.431772,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1719","Hochfeldstrasse - Bern",46.955605,7.428041,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1720","Fabrikstrasse - Bern",46.956024,7.425828,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1721","Zähringerstrasse - Bern",46.953648,7.4372435,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1722","Mittelstrasse Uni - Bern",46.95578,7.435263,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1723","Neubrückstrasse - Bern",46.95691,7.437657,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1724","Post CH AG – IT Services - Bern",46.957527,7.4405737,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1725","Neufeldstrasse Ost - Bern",46.958145,7.4349813,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1726","Freies Gymnasium - Bern",46.95933,7.4349074,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1727","Innere Enge - Bern",46.961685,7.439614,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1728","Murtenstrasse Forsthaus - Bern",46.95168,7.416571,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1729","Rossfeldstrasse - Bern",46.97178,7.4456005,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1730","Bahnhof Tiefenau - Bern",46.972908,7.4507337,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1731","Tiefenau - Bern",46.974842,7.453274,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1732","Stadtbachstrasse - Bern",46.9491,7.4332767,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1733","Studerstrasse - Bern",46.965935,7.4416056,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1734","Felsenaustrasse - Bern",46.972366,7.4420824,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1735","Fährstrasse - Bern",46.975506,7.4416814,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1736","Gymnasium Neufeld - Bern",46.958847,7.429207,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1739","Schwimmhalle Neufeld - Bern",46.960796,7.433963,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1743","Engehalde - Bern",46.9566,7.4402156,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1744","Marzilibahn - Bern",46.94467,7.443264,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1745","Brückenstrasse BFH - Bern",46.94272,7.441027,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1746","Marzilibad - Bern",46.942142,7.442515,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1747","Dampfzentrale - Bern",46.94069,7.4431486,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1748","Maulbeerstrasse - Bern",46.94654,7.4356613,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1749","Kocherpark - Bern",46.946026,7.4332137,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1750","Kapellenstrasse BFF - Bern",46.944218,7.436674,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1751","Monbijoustrasse - Bern",46.941032,7.4359164,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1752","Monbijoubrücke - Bern",46.93965,7.440236,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1753","Wabernstrasse - Bern",46.938953,7.4375334,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1754","Wander - Bern",46.93719,7.4360867,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1755","Landoltstrasse - Bern",46.93718,7.439398,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1756","Friedheimweg - Bern",46.936443,7.437876,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1757","Schöneggweg - Bern",46.93454,7.44193,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1758","Haslerstrasse - Bern",46.94508,7.432452,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1759","Eigerplatz Nord - Bern",46.94166,7.431887,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1760","Eigerplatz Süd - Bern",46.940014,7.431781,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1761","Beaumontweg - Bern",46.939087,7.428638,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1762","Beaumont - Bern",46.937107,7.432238,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1763","Bahnhof Weissenbühl - Bern",46.936016,7.4300632,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1764","Zieglerspital - Bern",46.93202,7.4330454,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1765","Schule Brunnmatt - Bern",46.945805,7.4270434,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1766","Cäcilienplatz - Bern",46.94167,7.425978,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1767","Fischermätteli - Bern",46.940598,7.4187355,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1768","Kirchbergerstrasse - Bern",46.938847,7.4210806,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1769","Sporthalle Weissenstein - Bern",46.937103,7.4178247,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1770","Friedbühlstrasse - Bern",46.94801,7.4218926,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1771","Loryplatz - Bern",46.94467,7.4223027,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1772","Schenkstrasse - Bern",46.945877,7.4154887,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1773","Stämpflistrasse - Bern",46.94325,7.4146013,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1774","Steigerhubel - Bern",46.944027,7.412034,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1775","Europaplatz Süd - Bern",46.9436,7.407175,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1776","Zieglerstrasse - Bern",46.94297,7.430233,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1777","Murtenstrasse Sanpol - Bern",46.950302,7.4145646,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1778","Schwarztorstrasse - Bern",46.944607,7.429096,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1779","Seilerstrasse - Bern",46.945595,7.434686,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1780","Insel Haupteingang - Bern",46.947556,7.426697,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1781","Kleine Schanze - Bern",46.945976,7.4394174,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1782","Insel West - Bern",46.946545,7.420781,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1783","Lettenstrasse - Zürich",47.389893,8.531508,30,"",NA
"2026-08-24T14:40:39","PIB:Station:1784","Weberstrasse - Bern",46.939865,7.425097,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1785","Güterstrasse - Bern",46.947525,7.4168797,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1786","Velostation Welle 7 - Bern",46.94779,7.4363356,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1787","Buchlern - Zürich",47.384857,8.476772,30,"",NA
"2026-08-24T14:40:39","PIB:Station:1789","Dunkelhölzli - Zürich",47.389156,8.470463,30,"",NA
"2026-08-24T14:40:39","PIB:Station:1790","Lorystrasse - Bern",46.945095,7.418358,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1791","Dübystrasse - Bern",46.936436,7.4247994,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1792","Landhausweg - Bern",46.935837,7.4327044,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1793","Roschistrasse - Bern",46.93498,7.438808,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1794","Hallenbad Altstetten - Zürich",47.388714,8.480072,30,"",NA
"2026-08-24T14:40:39","PIB:Station:1795","Farbhof - Zürich",47.390896,8.47833,30,"",NA
"2026-08-24T14:40:39","PIB:Station:1796","Michelstrasse - Zürich",47.405525,8.495262,30,"",NA
"2026-08-24T14:40:39","PIB:Station:1797","Rütihof - Zürich",47.413483,8.477745,30,"",NA
"2026-08-24T14:40:39","PIB:Station:1798","Wartau - Zürich",47.402348,8.493481,30,"",NA
"2026-08-24T14:40:39","PIB:Station:1799","Steigerhubelstrasse - Bern",46.946167,7.4114184,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1800","Goumoensstrasse - Bern",46.93465,7.4313188,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1801","Los Lorentes Residences - Bern",46.948677,7.4081635,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1803","Guisanplatz - Bern",46.958717,7.4646416,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1804","Rosengarten Ost - Bern",46.95206,7.4615755,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1805","Ostermundigerstrasse - Bern",46.952507,7.467395,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1806","Zentweg - Bern",46.95548,7.4769044,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1807","Bärenpark - Bern",46.94787,7.4598913,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1808","Schule Laubegg - Bern",46.94713,7.465731,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1809","Giacomettistrasse - Bern",46.94581,7.4729347,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1810","Egelgasse-Ostring - Bern",46.943806,7.469424,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1811","Spital Sonnenhof - Bern",46.9432,7.4735436,50,"",NA
"2026-08-24T14:40:39","PIB:Station:1812","Helvetiaplatz - Bern",46.943993,7.449697,50,"",NA
